PROVINSI ID,KABUPATEN ID,KABUPATEN
PRV001,KAB001,BENGKULU SELATAN
PRV001,KAB002,BENGKULU TENGAH
PRV001,KAB003,BENGKULU UTARA
PRV001,KAB004,KAUR
PRV001,KAB005,KEPAHIANG
PRV001,KAB006,KOTA BENGKULU
PRV001,KAB007,LEBONG
PRV001,KAB008,MUKOMUKO
PRV001,KAB009,REJANG LEBONG
PRV001,KAB010,SELUMA
PRV002,KAB011,BATANG HARI
PRV002,KAB012,BUNGO
PRV002,KAB013,KERINCI
PRV002,KAB014,KOTA JAMBI
PRV002,KAB015,KOTA SUNGAI PENUH
PRV002,KAB016,MERANGIN
PRV002,KAB017,MUARO JAMBI
PRV002,KAB018,SAROLANGUN
PRV002,KAB019,TANJUNG JABUNG BARAT
PRV002,KAB020,TANJUNG JABUNG TIMUR
PRV002,KAB021,TEBO
PRV003,KAB022,BANGKA
PRV003,KAB023,BANGKA BARAT
PRV003,KAB024,BANGKA SELATAN
PRV003,KAB025,BANGKA TENGAH
PRV003,KAB026,BELITUNG
PRV003,KAB027,BELITUNG TIMUR
PRV003,KAB028,KOTA PANGKAL PINANG
PRV004,KAB029,KOTA BANDAR LAMPUNG
PRV004,KAB030,KOTA METRO
PRV004,KAB031,LAMPUNG BARAT
PRV004,KAB032,LAMPUNG SELATAN
PRV004,KAB033,LAMPUNG TENGAH
PRV004,KAB034,LAMPUNG TIMUR
PRV004,KAB035,LAMPUNG UTARA
PRV004,KAB036,MESUJI
PRV004,KAB037,PESAWARAN
PRV004,KAB038,PESISIR BARAT
PRV004,KAB039,PRINGSEWU
PRV004,KAB040,TANGGAMUS
PRV004,KAB041,TULANG BAWANG BARAT
PRV004,KAB042,TULANG BAWANG
PRV004,KAB043,WAY KANAN
PRV005,KAB044,BANYUASIN
PRV005,KAB045,EMPAT LAWANG
PRV005,KAB046,KOTA LUBUKLINGGAU
PRV005,KAB047,KOTA PAGAR ALAM
PRV005,KAB048,KOTA PALEMBANG
PRV005,KAB049,KOTA PRABUMULIH
PRV005,KAB050,LAHAT
PRV005,KAB051,MUARA ENIM
PRV005,KAB052,MUSI BANYUASIN
PRV005,KAB053,MUSI RAWAS
PRV005,KAB054,MUSI RAWAS UTARA
PRV005,KAB055,OGAN ILIR
PRV005,KAB056,OGAN KOMERING ILIR
PRV005,KAB057,OGAN KOMERING ULU
PRV005,KAB058,OGAN KOMERING ULU SELATAN
PRV005,KAB059,OGAN KOMERING ULU TIMUR
PRV005,KAB060,PENUKAL ABAB LEMATANG ILIR
