KABUPATEN ID,CLUSTER ID,KECAMATAN ID,NAMA KECAMATAN
KAB022,CTR011,KEC001,BAKAM
KAB022,CTR011,KEC002,BELINYU
KAB022,CTR011,KEC003,MENDO BARAT
KAB022,CTR011,KEC004,MERAWANG
KAB022,CTR011,KEC005,PEMALI
KAB022,CTR011,KEC006,PUDING BESAR
KAB022,CTR011,KEC007,RIAU SILIP
KAB022,CTR011,KEC008,SUNGAI LIAT
KAB023,CTR011,KEC009,JEBUS
KAB023,CTR011,KEC010,KELAPA
KAB023,CTR011,KEC011,MENTOK
KAB023,CTR011,KEC012,PARITTIGA
KAB023,CTR011,KEC013,SIMPANG TERITIP
KAB023,CTR011,KEC014,TEMPILANG
KAB024,CTR011,KEC015,AIR GEGAS
KAB024,CTR011,KEC016,KEPULAUAN PONGOK
KAB024,CTR011,KEC017,LEPAR PONGOK
KAB024,CTR011,KEC018,PAYUNG
KAB024,CTR011,KEC019,PULAU BESAR
KAB024,CTR011,KEC020,SIMPANG RIMBA
KAB024,CTR011,KEC021,TOBOALI
KAB024,CTR011,KEC022,TUKAK SADAI
KAB025,CTR011,KEC023,KOBA
KAB025,CTR011,KEC024,LUBUK BESAR
KAB025,CTR011,KEC025,NAMANG
KAB025,CTR011,KEC026,PANGKALAN BARU
KAB025,CTR011,KEC027,SIMPANG KATIS
KAB025,CTR011,KEC028,SUNGAI SELAN
KAB044,CTR008,KEC029,AIR KUMBANG
KAB044,CTR008,KEC030,AIR SALEH
KAB044,CTR008,KEC031,BANYUASIN I
KAB044,CTR008,KEC032,BANYUASIN II
KAB044,CTR008,KEC033,BANYUASIN III
KAB044,CTR008,KEC034,BETUNG
KAB044,CTR008,KEC035,MAKARTI JAYA
KAB044,CTR008,KEC036,MUARA PADANG
KAB044,CTR008,KEC037,MUARA SUGIHAN
KAB044,CTR008,KEC038,MUARA TELANG
KAB044,CTR008,KEC039,PULAU RIMAU
KAB044,CTR008,KEC040,RAMBUTAN
KAB044,CTR008,KEC041,RANTAU BAYUR
KAB044,CTR008,KEC042,SEMBAWA
KAB044,CTR008,KEC043,SUAK TAPEH
KAB044,CTR008,KEC044,SUMBER MARGA TELANG
KAB044,CTR008,KEC045,TALANG KELAPA
KAB044,CTR008,KEC046,TANJUNG LAGO
KAB044,CTR008,KEC047,TUNGKAL ILIR
KAB011,CTR004,KEC048,BAJUBANG
KAB011,CTR004,KEC049,BATIN XXIV
KAB011,CTR004,KEC050,MARO SEBO ILIR
KAB011,CTR004,KEC051,MARO SEBO ULU
KAB011,CTR004,KEC052,MERSAM
KAB011,CTR004,KEC053,MUARA BULIAN
KAB011,CTR004,KEC054,MUARA TEMBESI
KAB011,CTR004,KEC055,PEMAYUNG
KAB026,CTR011,KEC056,BADAU
KAB026,CTR011,KEC057,MEMBALONG
KAB026,CTR011,KEC058,SELAT NASIK
KAB026,CTR011,KEC059,SIJUK
KAB026,CTR011,KEC060,TANJUNG PANDAN
KAB027,CTR011,KEC061,DAMAR
KAB027,CTR011,KEC062,DENDANG
KAB027,CTR011,KEC063,GANTUNG
KAB027,CTR011,KEC064,KELAPA KAMPIT
KAB027,CTR011,KEC065,MANGGAR
KAB027,CTR011,KEC066,SIMPANG PESAK
KAB027,CTR011,KEC067,SIMPANG RENGGIANG
KAB001,CTR001,KEC068,AIR NIPIS
KAB001,CTR001,KEC069,BUNGA MAS
KAB001,CTR001,KEC070,KEDURANG
KAB001,CTR001,KEC071,KEDURANG ILIR
KAB001,CTR001,KEC072,KOTA MANNA
KAB001,CTR001,KEC073,MANNA
KAB001,CTR001,KEC074,PASAR MANNA
KAB001,CTR001,KEC075,PINO
KAB001,CTR001,KEC076,PINORAYA
KAB001,CTR001,KEC077,SEGINIM
KAB001,CTR001,KEC078,ULU MANNA
KAB002,CTR001,KEC079,BANG HAJI
KAB002,CTR001,KEC080,KARANG TINGGI
KAB002,CTR001,KEC081,MERIGI KELINDANG
KAB002,CTR001,KEC082,MERIGI SAKTI
KAB002,CTR001,KEC083,PAGAR JATI
KAB002,CTR001,KEC084,PEMATANG TIGA
KAB002,CTR001,KEC085,PONDOK KELAPA
KAB002,CTR001,KEC086,PONDOK KUBANG
KAB002,CTR001,KEC087,TABA PENANJUNG
KAB002,CTR001,KEC088,TALANG EMPAT
KAB003,CTR001,KEC089,AIR BESI
KAB003,CTR001,KEC090,AIR NAPAL
KAB003,CTR001,KEC091,AIR PADANG
KAB003,CTR001,KEC092,ARGA MAKMUR
KAB003,CTR001,KEC093,ARMA JAYA
KAB003,CTR001,KEC094,BATIK NAU
KAB003,CTR001,KEC095,ENGGANO
KAB003,CTR001,KEC096,GIRI MULYA
KAB003,CTR001,KEC097,HULU PALIK
KAB003,CTR001,KEC098,KERKAP
KAB003,CTR001,KEC099,KETAHUN
KAB003,CTR001,KEC100,LAIS
KAB003,CTR001,KEC101,NAPAL PUTIH
KAB003,CTR001,KEC102,PADANG JAYA
KAB003,CTR001,KEC103,PUTRI HIJAU
KAB003,CTR001,KEC104,TANJUNG AGUNG PALIK
KAB003,CTR001,KEC105,ULOK KUPAI
KAB012,CTR003,KEC106,BATHIN II BABEKO
KAB012,CTR003,KEC107,BATHIN II PELAYANG
KAB012,CTR003,KEC108,BATHIN III
KAB012,CTR003,KEC109,BATHIN III ULU
KAB012,CTR003,KEC110,BUNGO DANI
KAB012,CTR003,KEC111,JUJUHAN
KAB012,CTR003,KEC112,JUJUHAN ILIR
KAB012,CTR003,KEC113,LIMBUR LUBUK MENGKUANG
KAB012,CTR003,KEC114,MUKO-MUKO BATHIN VII
KAB012,CTR003,KEC115,PASAR MUARA BUNGO
KAB012,CTR003,KEC116,PELEPAT
KAB012,CTR003,KEC117,PELEPAT ILIR
KAB012,CTR003,KEC118,RANTAU PANDAN
KAB012,CTR003,KEC119,RIMBO TENGAH
KAB012,CTR003,KEC120,TANAH SEPENGGAL
KAB012,CTR003,KEC121,TANAH SEPENGGAL LINTAS
KAB012,CTR003,KEC122,TANAH TUMBUH
KAB045,CTR002,KEC123,LINTANG KANAN
KAB045,CTR002,KEC124,MUARA PINANG
KAB045,CTR002,KEC125,PASEMAH AIR KERUH
KAB045,CTR002,KEC126,PENDOPO
KAB045,CTR002,KEC127,PENDOPO BARAT
KAB045,CTR002,KEC128,SALING
KAB045,CTR002,KEC129,SIKAP DALAM
KAB045,CTR002,KEC130,TALANG PADANG
