KELURAHAN ID,KECAMATAN ID,NAMA KELURAHAN
KLH0001,KEC051,PENINJAUAN
KLH0002,KEC051,TELUK LEBAN
KLH0003,KEC051,KAMPUNG BARU
KLH0004,KEC051,PADANG KELAPO
KLH0005,KEC053,MUARA SINGOAN
KLH0006,KEC053,RENGAS CONDONG
KLH0007,KEC053,PASAR BARU
KLH0008,KEC457,MULYA JAYA
KLH0009,KEC457,SUMBER MULYA
KLH0010,KEC457,TALANG BUKIT
KLH0011,KEC457,TALANG DATAR
KLH0012,KEC457,MARKANDING
KLH0013,KEC460,SUNGAI TERAP
KLH0014,KEC659,DUSUN SAROLANGUN
KLH0015,KEC659,PASAR SAROLANGUN
KLH0016,KEC659,SUKASARI
KLH0017,KEC659,SAROLANGUN KEMBANG
KLH0018,KEC659,LADANG PANJANG
KLH0019,KEC051,SUNGAI LINGKAR
KLH0020,KEC051,SUNGAI RUAN ILIR
KLH0021,KEC051,SUNGAI RUAN ULU
KLH0022,KEC051,OLAK KEMANG
KLH0023,KEC051,TEBING TINGGI
KLH0024,KEC051,RENGAS IX
KLH0025,KEC048,SUNGKAI
KLH0026,KEC048,BUNGKU
KLH0027,KEC048,MEKAR JAYA
KLH0028,KEC048,POMPA AIR
KLH0029,KEC460,KASANG PUDAK
KLH0030,KEC460,KASANG LOPAK ALAI
KLH0031,KEC460,SOLOK
KLH0032,KEC460,SUMBER JAYA
KLH0033,KEC659,L I D U N G
KLH0034,KEC659,BARU
KLH0035,KEC659,AUR GADING
KLH0036,KEC659,GUNUNG KEMBANG
KLH0037,KEC659,UJUNG TANJUNG
KLH0038,KEC659,BERNAI DALAM
KLH0039,KEC653,TANJUNG GAGAK
KLH0040,KEC051,KEMBANG SERI
KLH0041,KEC051,BULUH KASAB
KLH0042,KEC051,SIMPANG SUNGAI RENGAS
KLH0043,KEC048,LADANG PERIS
KLH0044,KEC048,PENEROKAN
KLH0045,KEC048,BAJUBANG
KLH0046,KEC460,ARANG ARANG
KLH0047,KEC460,SIPIN TELUK DUREN
KLH0048,KEC460,PEMUNDURAN
KLH0049,KEC460,TELUK RAYA
KLH0050,KEC653,RANTAU GEDANG
KLH0051,KEC653,PULAU BUAYO
KLH0052,KEC653,BATU PENYABUNG
KLH0053,KEC653,TELUK KECIMBUNG
KLH0054,KEC653,DUSUN DALAM
KLH0055,KEC653,PULAU LINTANG
KLH0056,KEC653,PENARUN
KLH0057,KEC653,PULAU MALAKO
KLH0058,KEC049,JELUTIH
KLH0059,KEC049,OLAK BESAR
KLH0060,KEC049,DURIAN LUNCUK
KLH0061,KEC048,BATIN
KLH0062,KEC048,PETAJIN
KLH0063,KEC050,TERUSAN
KLH0064,KEC050,DANAU EMBAT
KLH0065,KEC460,RAMIN
KLH0066,KEC460,TARIKAN
KLH0067,KEC460,LOPAK ALAI
KLH0068,KEC460,SAKEAN
KLH0069,KEC460,KOTA KARANG
KLH0070,KEC653,TANJUNG
KLH0071,KEC653,LIMBUR TEMBESI
KLH0072,KEC653,BANGUN JAYO
KLH0073,KEC653,MUARALATI
KLH0074,KEC653,TELUK MANCUR
KLH0075,KEC653,SUKAJADI
KLH0076,KEC657,SEKO BESAR
KLH0077,KEC049,AUR GADING
KLH0078,KEC049,HAJRAN
KLH0079,KEC049,PAKU AJI
KLH0080,KEC049,MUARA JANGGA
KLH0081,KEC050,BULIAN JAYA
KLH0082,KEC050,TIDAR KURANJI
KLH0083,KEC050,KEHIDUPAN BARU
KLH0084,KEC050,KARYA MUKTI
KLH0085,KEC050,BUKIT SARI
KLH0086,KEC055,TEBING TINGGI
KLH0087,KEC460,PUDAK
KLH0088,KEC460,MUARA KUMPEH
KLH0089,KEC460,KASANG KUMPEH
KLH0090,KEC657,TAMAN BANDUNG
KLH0091,KEC657,SEPINTUN
KLH0092,KEC657,LAMBAN SIGATAL
KLH0093,KEC657,LUBUK NAPAL
KLH0094,KEC657,PANGIDARAN
KLH0095,KEC049,MATA GUAL
KLH0096,KEC049,KOTO BUAYO
KLH0097,KEC055,SIMPANG KUBU KANDANG
KLH0098,KEC055,KUBU KANDANG
KLH0099,KEC055,KUAP
KLH0100,KEC055,SENANING
KLH0101,KEC055,JEMBATAN MAS
KLH0102,KEC652,KASIRO
KLH0103,KEC652,KASIRO ILIR
KLH0104,KEC652,SUNGAI BEMBAN
KLH0105,KEC652,SUNGAI BAUNG
KLH0106,KEC652,MUARA CUBAN
KLH0107,KEC652,LUBUK BANGKAR
KLH0108,KEC657,KARANG MENDAPO
KLH0109,KEC657,BATU AMPAR
KLH0110,KEC657,BATU KUCING
KLH0111,KEC657,PAUH
KLH0112,KEC657,SEMARAN
KLH0113,KEC657,KASANG MELINTANG
KLH0114,KEC657,PANGKAL BULIAN
KLH0115,KEC657,DANAUSERDANG
KLH0116,KEC651,LUBUK KEPAYANG
KLH0117,KEC049,KARMEO
KLH0118,KEC049,SIMPANG KARMEO
KLH0119,KEC055,AWIN
KLH0120,KEC055,SERASAH
KLH0121,KEC055,PULAU BETUNG
KLH0122,KEC652,MUARA PEMUAT
KLH0123,KEC652,BUKITSULAH
KLH0124,KEC652,PANIBAN BARU
KLH0125,KEC652,BUKIT BERANTAI
KLH0126,KEC655,MERSIP
KLH0127,KEC651,DUSUN BARU
KLH0128,KEC651,SEMURUNG
KLH0129,KEC651,JERNIH
KLH0130,KEC651,LUBUK JERING
KLH0131,KEC651,MENTAWAK BARU
KLH0132,KEC651,PEMATANG KABAU
KLH0133,KEC651,BUKIT SUBAN
KLH0134,KEC049,JANGGA
KLH0135,KEC049,TERENTANG BARU
KLH0136,KEC049,JANGGA BARU
KLH0137,KEC049,BULIAN BARU
KLH0138,KEC055,TURE
KLH0139,KEC055,LUBUK RUSO
KLH0140,KEC055,OLAK RAMBAHAN
KLH0141,KEC655,DESA BERKUN
KLH0142,KEC655,LUBUK BEDORONG
KLH0143,KEC655,MERIBUNG
KLH0144,KEC655,NAPAL MELINTANG
KLH0145,KEC655,PANCA KARYA
KLH0146,KEC655,RANGGO
KLH0147,KEC655,TANJUNG RADEN
KLH0148,KEC651,MENTAWAK ULU
KLH0149,KEC656,GURUN MUDO
KLH0150,KEC656,GURUN TUO
KLH0151,KEC656,SIMPANG GURUN TUO
KLH0152,KEC656,PEMUSIRAN
KLH0153,KEC656,RANGKILING SIMPANG
KLH0154,KEC049,SIMPANG JELUTIH
KLH0155,KEC054,JEBAK
KLH0156,KEC054,AMPELU
KLH0157,KEC055,LOPAK AUR
KLH0158,KEC055,SELAT
KLH0159,KEC055,TELUK
KLH0160,KEC055,PULAU RAMAN
KLH0161,KEC055,KAOS
KLH0162,KEC655,TEMENGGUNG
KLH0163,KEC655,PULAU PANDAN
KLH0164,KEC655,DEMANG
KLH0165,KEC655,MUARA MANSAO
KLH0166,KEC655,MOENTI
KLH0167,KEC655,MUARA LIMUN
KLH0168,KEC656,RANGKILING
KLH0169,KEC656,MANDIANGIN TUO
KLH0170,KEC656,MANDIANGIN
KLH0171,KEC656,DESA TAMAN DEWA
KLH0172,KEC656,SIMPANG KERTOPATI
KLH0173,KEC656,KERTO PATI
KLH0174,KEC656,MUARA KETALO
KLH0175,KEC656,BUKIT PERANGINAN
